CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
16846,10000248002,2010248002,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 03:25:00 AM,2XX BLOCK OF WESTLAKE AVE N,D,D2,7300.3010,-122.338470392,47.62028978,"(47.62028978, -122.338470392)",,,,
17130,10000248433,2010248433,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 01:54:00 PM,6XX BLOCK OF 3RD AVE,K,K2,8100.2034,-122.331735385,47.603126533,"(47.603126533, -122.331735385)",,,,
17300,10000248765,2010248765,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 07:17:00 PM,135XX BLOCK OF AURORA AVE N,N,N1,600.1011,-122.34502704,47.727768618,"(47.727768618, -122.34502704)",,,,
17283,10000248678,2010248678,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 06:16:00 PM,23XX BLOCK OF E SPRING ST,G,G1,8800.5004,-122.302088663,47.611585266,"(47.611585266, -122.302088663)",,,,
17422,10000248887,2010248887,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 09:14:00 PM,117XX BLOCK OF AURORA AVE N,N,N1,600.3005,-122.344896102,47.717174471,"(47.717174471, -122.344896102)",,,,
17508,10000248951,2010248951,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 10:00:00 PM,97XX BLOCK OF AURORA AVE N,N,N3,1300.3011,-122.344634933,47.700072022,"(47.700072022, -122.344634933)",,,,
17738,10000249290,2010249290,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/20/2010 06:20:00 AM,15XX BLOCK OF S DEARBORN ST,G,G2,9000.2010,-122.311866372,47.595840891,"(47.595840891, -122.311866372)",,,,
18470,10000250282,2010250282,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/20/2010 09:13:00 PM,41XX BLOCK OF AURORA AVE N,J,J3,4900.2000,-122.347329476,47.65719937,"(47.65719937, -122.347329476)",,,,
19233,10000251480,2010251480,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/21/2010 07:19:00 PM,11XX BLOCK OF N 92ND ST,N,N2,1800.3006,-122.343234397,47.695625794,"(47.695625794, -122.343234397)",,,,
19281,10000251805,2010251805,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 12:08:00 AM,8XX BLOCK OF N 125TH ST,N,N1,402.2003,-122.346852108,47.719577549,"(47.719577549, -122.346852108)",,,,
19385,10000251656,2010251656,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/21/2010 11:06:00 PM,39XX BLOCK OF S PEARL ST,R,R3,10300.5013,-122.2826036,47.556205746,"(47.556205746, -122.2826036)",,,,
19526,10000251681,2010251681,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 03:57:00 AM,93XX BLOCK OF AURORA AVE N,N,N2,1800.3001,-122.344595111,47.696722098,"(47.696722098, -122.344595111)",,,,
19541,10000251857,2010251857,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 01:47:00 AM,9XX BLOCK OF N MOTOR PL,J,J3,5000.3021,-122.347016473,47.658674724,"(47.658674724, -122.347016473)",,,,
19586,10000251899,2010251899,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 03:41:00 AM,86XX BLOCK OF AURORA AVE N,N,N2,1800.2007,-122.344534835,47.691649488,"(47.691649488, -122.344534835)",,,,
20336,10000253067,2010253067,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 11:22:00 PM,7XX BLOCK OF JOHN ST,D,D1,7200.1039,-122.342948486,47.619721967,"(47.619721967, -122.342948486)",,,,
20342,10000253096,2010253096,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/22/2010 11:38:00 PM,102XX BLOCK OF AURORA AVE N,N,N2,1300.3000,-122.344670445,47.703059536,"(47.703059536, -122.344670445)",,,,
20430,10000252996,2010252996,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/23/2010 03:37:00 AM,61XX BLOCK OF RAINIER AVE S,R,R3,10200.3010,-122.27654798,47.546678433,"(47.546678433, -122.27654798)",,,,
20705,10000253637,2010253637,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/23/2010 12:25:00 PM,11XX BLOCK OF N 125TH ST,N,N1,402.2003,-122.343592423,47.719571989,"(47.719571989, -122.343592423)",,,,
21141,10000254508,2010254508,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/23/2010 11:30:00 PM,7XX BLOCK OF HARRISON ST,D,D1,7200.1016,-122.34171893,47.622053521,"(47.622053521, -122.34171893)",,,,
21249,10000254509,2010254509,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/23/2010 11:37:00 PM,4XX BLOCK OF 8TH AVE N,D,D1,7200.1016,-122.341060922,47.62263512,"(47.62263512, -122.341060922)",,,,
21274,10000254389,2010254389,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/23/2010 10:05:00 PM,5XX BLOCK OF MADISON ST,K,K1,8200.2005,-122.331243563,47.606784793,"(47.606784793, -122.331243563)",,,,
21400,10000254629,2010254629,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/24/2010 01:58:00 AM,46XX BLOCK OF S HOLLY ST,S,S1,11101.5014,-122.274090991,47.542470251,"(47.542470251, -122.274090991)",,,,
21532,10000254833,2010254833,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/24/2010 04:57:00 AM,6XX BLOCK OF DENNY WAY,D,D1,7200.1049,-122.344383851,47.618558149,"(47.618558149, -122.344383851)",,,,
21635,10000254875,2010254875,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/24/2010 08:46:00 AM,24XX BLOCK OF 4TH AVE S,O,O2,9300.3026,-122.329055962,47.580851337,"(47.580851337, -122.329055962)",,,,
21947,10000255478,2010255478,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/24/2010 08:14:00 PM,2XX BLOCK OF LENORA ST,M,M2,7200.2025,-122.342622658,47.612834368,"(47.612834368, -122.342622658)",,,,
22396,10000255936,2010255936,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 12:58:00 AM,2XX BLOCK OF DEXTER AVE N,D,D1,7200.1036,-122.342386722,47.620304004,"(47.620304004, -122.342386722)",,,,
22412,10000255944,2010255944,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 01:04:00 AM,2XX BLOCK OF 8TH AVE N,D,D1,7200.1035,-122.341081505,47.620299299,"(47.620299299, -122.341081505)",,,,
22418,10000255907,2010255907,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 01:34:00 AM,7XX BLOCK OF REPUBLICAN ST,D,D1,7200.1012,-122.341708418,47.62322135,"(47.62322135, -122.341708418)",,,,
22427,10000256068,2010256068,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 02:17:00 AM,1XX BLOCK OF 6TH AVE N,D,D1,7200.1049,-122.345006289,47.619145236,"(47.619145236, -122.345006289)",,,,
22452,10000256007,2010256007,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 01:15:00 AM,2XX BLOCK OF TAYLOR AVE N,D,D1,7200.1027,-122.346301274,47.620318688,"(47.620318688, -122.346301274)",,,,
22462,10000255979,2010255979,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 02:04:00 AM,7XX BLOCK OF THOMAS ST,D,D1,7200.1031,-122.343033203,47.620892488,"(47.620892488, -122.343033203)",,,,
22590,10000256271,2010256271,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 09:04:00 AM,102XX BLOCK OF AURORA AVE N,N,N2,1300.4013,-122.344670445,47.703059536,"(47.703059536, -122.344670445)",,,,
22923,10000256882,2010256882,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 10:25:00 PM,137XX BLOCK OF AURORA AVE N,N,N1,300.3019,-122.345047044,47.729584799,"(47.729584799, -122.345047044)",,,,
23075,10000257092,2010257092,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/25/2010 11:59:00 PM,42XX BLOCK OF S HOLDEN ST,S,S2,11000.2008,-122.279737117,47.533375988,"(47.533375988, -122.279737117)",,,,
23134,10000257112,2010257112,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/26/2010 02:55:00 AM,89XX BLOCK OF AURORA AVE N,N,N2,1800.2003,-122.344560665,47.693823402,"(47.693823402, -122.344560665)",,,,
23145,10000257047,2010257047,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/26/2010 03:27:00 AM,11XX BLOCK OF N 135TH ST,N,N1,600.1011,-122.343664489,47.726858645,"(47.726858645, -122.343664489)",,,,
23773,10000258009,2010258009,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/26/2010 05:23:00 PM,90XX BLOCK OF AURORA AVE N,N,N2,1800.3011,-122.344569276,47.694547963,"(47.694547963, -122.344569276)",,,,
23795,10000258194,2010258194,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/26/2010 07:48:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
23843,10000258298,2010258298,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/26/2010 09:42:00 PM,125XX BLOCK OF AURORA AVE N,N,N1,402.2003,-122.344946833,47.720481995,"(47.720481995, -122.344946833)",,,,
23968,10000258453,2010258453,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 12:16:00 AM,84XX BLOCK OF 50TH AVE S,S,S2,11800.5008,-122.271399208,47.527282296,"(47.527282296, -122.271399208)",,,,
24092,10000258039,2010258039,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 03:20:00 AM,42XX BLOCK OF RAINIER AVE S,R,R1,10100.5012,-122.288423546,47.564962186,"(47.564962186, -122.288423546)",,,,
24181,10000258656,2010258656,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 03:01:00 AM,12XX BLOCK OF S MAIN ST,E,E3,9100.1002,-122.316550161,47.600011021,"(47.600011021, -122.316550161)",,,,
24457,10000259205,2010259205,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 02:43:00 PM,61XX BLOCK OF AURORA AVE N,J,J1,4600.1010,-122.347244797,47.673507768,"(47.673507768, -122.347244797)",,,,
24639,10000260920,2010260920,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 07:51:00 PM,112XX BLOCK OF AURORA AVE N,N,N1,600.4008,-122.344795215,47.711197959,"(47.711197959, -122.344795215)",,,,
24714,10000260959,2010260959,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 08:30:00 PM,10XX BLOCK OF N 107TH ST,N,N1,402.2012,-122.345388896,47.706540868,"(47.706540868, -122.345388896)",,,,
24721,10000260999,2010260999,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 08:45:00 PM,38XX BLOCK OF WINSLOW PL N,J,J3,5400.4016,-122.346609973,47.65343834,"(47.65343834, -122.346609973)",,,,
24850,10000259807,2010259807,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 03:56:00 AM,50XX BLOCK OF RAINIER AVE S,R,R3,10300.5013,-122.28410116,47.556450481,"(47.556450481, -122.28410116)",,,,
25016,10000261002,2010261002,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/29/2010 02:52:00 AM,44XX BLOCK OF GREEN LAKE WAY N,J,J3,5000.3009,-122.347001982,47.660979279,"(47.660979279, -122.347001982)",,,,
25208,10000259663,2010259663,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 08:59:00 PM,9XX BLOCK OF N 102ND ST,N,N2,1300.4013,-122.346012975,47.702882475,"(47.702882475, -122.346012975)",,,,
25329,10000261757,2010261757,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/29/2010 12:26:00 PM,44XX BLOCK OF GREEN LAKE WAY N,J,J3,5000.3009,-122.347001982,47.660979279,"(47.660979279, -122.347001982)",,,,
25530,10000259676,2010259676,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 09:14:00 PM,10XX BLOCK OF S WELLER ST,G,G2,9100.1006,-122.318435645,47.597504516,"(47.597504516, -122.318435645)",,,,
25534,10000259688,2010259688,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 09:29:00 PM,101XX BLOCK OF AURORA AVE N,N,N2,1300.3000,-122.344663988,47.70251635,"(47.70251635, -122.344663988)",,,,
25648,10000259493,2010259493,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 06:42:00 PM,6XX BLOCK OF 5TH AVE,K,K2,8500.1010,-122.329514322,47.604055213,"(47.604055213, -122.329514322)",,,,
25685,10000260719,2010260719,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 05:01:00 PM,8XX BLOCK OF N ALLEN PL,J,J2,4900.1014,-122.347985087,47.660759953,"(47.660759953, -122.347985087)",,,,
25686,10000260406,2010260406,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 03:52:00 PM,44XX BLOCK OF GREEN LAKE WAY N,J,J3,5000.3009,-122.347001982,47.660979279,"(47.660979279, -122.347001982)",,,,
25738,10000260683,2010260683,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 04:17:00 PM,90XX BLOCK OF AURORA AVE N,N,N2,1800.3011,-122.344569276,47.694547963,"(47.694547963, -122.344569276)",,,,
25859,10000259574,2010259574,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 08:21:00 PM,92XX BLOCK OF AURORA AVE N,N,N2,1800.3006,-122.344586494,47.695996751,"(47.695996751, -122.344586494)",,,,
25875,10000260929,2010260929,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/28/2010 08:10:00 PM,9XX BLOCK OF N 101ST ST,N,N2,1300.3001,-122.346004319,47.702158196,"(47.702158196, -122.346004319)",,,,
26022,10000259758,2010259758,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/27/2010 11:32:00 PM,9XX BLOCK OF N 46TH ST,J,J3,5000.4020,-122.34671212,47.662129236,"(47.662129236, -122.34671212)",,,,
26139,10000261435,2010261435,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/29/2010 04:19:00 AM,4XX BLOCK OF WESTLAKE AVE N,D,D2,7300.3009,-122.338450998,47.622625196,"(47.622625196, -122.338450998)",,,,
26143,10000261296,2010261296,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/29/2010 04:59:00 AM,69XX BLOCK OF RAINIER AVE S,R,R3,11102.4002,-122.271247036,47.540249702,"(47.540249702, -122.271247036)",,,,
26680,10000262334,2010262334,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/29/2010 08:38:00 PM,1XX BLOCK OF S ROYAL BROUGHAM WAY,K,K3,9300.2017,-122.333728447,47.592395467,"(47.592395467, -122.333728447)",,,,
26875,10000262674,2010262674,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 01:01:00 AM,51XX BLOCK OF CLOVERDALE PL S,S,S3,11800.4000,-122.269006741,47.526821692,"(47.526821692, -122.269006741)",,,,
26923,10000262673,2010262673,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 12:55:00 AM,42XX BLOCK OF AURORA AVE N,J,J3,5000.2010,-122.347332216,47.658208334,"(47.658208334, -122.347332216)",,,,
26963,10000262258,2010262258,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 01:51:00 AM,33XX BLOCK OF RAINIER AVE S,R,R1,9500.5025,-122.294396517,47.573430815,"(47.573430815, -122.294396517)",,,,
27195,10000263084,2010263084,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 12:37:00 PM,117XX BLOCK OF AURORA AVE N,N,N1,600.3005,-122.344896102,47.717174471,"(47.717174471, -122.344896102)",,,,
27458,10000263535,2010263535,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 06:29:00 PM,90XX BLOCK OF AURORA AVE N,N,N2,1800.3011,-122.344569276,47.694547963,"(47.694547963, -122.344569276)",,,,
27508,10000263528,2010263528,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 07:45:00 PM,42XX BLOCK OF LINDEN AVE N,J,J2,4900.1017,-122.348650218,47.658986481,"(47.658986481, -122.348650218)",,,,
27767,10000263880,2010263880,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 11:05:00 PM,3XX BLOCK OF AURORA AVE N,D,D1,7200.1030,-122.343679833,47.621477001,"(47.621477001, -122.343679833)",,,,
27776,10000263930,2010263930,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/30/2010 11:34:00 PM,7XX BLOCK OF JOHN ST,D,D1,7200.1039,-122.342948486,47.619721967,"(47.619721967, -122.342948486)",,,,
27957,10000263977,2010263977,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/31/2010 01:19:00 AM,2XX BLOCK OF 8TH AVE N,D,D1,7200.1035,-122.341081505,47.620299299,"(47.620299299, -122.341081505)",,,,
28418,10000264966,2010264966,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/31/2010 07:16:00 PM,7XX BLOCK OF 23RD AVE,G,G1,8700.1007,-122.302766483,47.60851405,"(47.60851405, -122.302766483)",,,,
28658,10000265136,2010265136,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/31/2010 09:13:00 PM,4XX BLOCK OF N 90TH ST,N,N2,1700.2012,-122.353304007,47.694211048,"(47.694211048, -122.353304007)",,,,
28725,10000265093,2010265093,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/31/2010 08:41:00 PM,90XX BLOCK OF AURORA AVE N,N,N2,1800.3012,-122.344569276,47.694547963,"(47.694547963, -122.344569276)",,,,
29433,10000266224,2010266224,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/01/2010 08:36:00 PM,42XX BLOCK OF AURORA AVE N,J,J3,5000.2010,-122.347332216,47.658208334,"(47.658208334, -122.347332216)",,,,
29568,10000266343,2010266343,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 12:40:00 AM,42XX BLOCK OF FREMONT AVE N,J,J2,4900.1019,-122.350005391,47.658196477,"(47.658196477, -122.350005391)",,,,
29625,10000266655,2010266655,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 03:41:00 AM,8XX BLOCK OF N 42ND ST,J,J2,4900.1020,-122.347925086,47.657743077,"(47.657743077, -122.347925086)",,,,
29644,10000266624,2010266624,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 01:46:00 AM,8XX BLOCK OF N 42ND ST,J,J2,4900.1020,-122.347925086,47.657743077,"(47.657743077, -122.347925086)",,,,
29653,10000266590,2010266590,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 12:50:00 AM,103XX BLOCK OF AURORA AVE N,N,N2,1300.4008,-122.344681208,47.703964845,"(47.703964845, -122.344681208)",,,,
29658,10000266577,2010266577,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 12:33:00 AM,22XX BLOCK OF E UNION ST,G,G1,7700.3014,-122.303172862,47.61293726,"(47.61293726, -122.303172862)",,,,
29685,10000266675,2010266675,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 03:43:00 AM,86XX BLOCK OF RAINIER AVE S,S,S3,11800.6011,-122.269982026,47.524739041,"(47.524739041, -122.269982026)",,,,
29906,10000267085,2010267085,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 12:49:00 PM,115XX BLOCK OF AURORA AVE N,N,N1,600.3005,-122.344834273,47.713547979,"(47.713547979, -122.344834273)",,,,
30123,10000267510,2010267510,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 07:19:00 PM,XX BLOCK OF 31ST AVE S,G,G3,8900.5000,-122.292628686,47.598578715,"(47.598578715, -122.292628686)",,,,
30484,10000267725,2010267725,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/02/2010 10:29:00 PM,25XX BLOCK OF S KING ST,G,G2,8900.5005,-122.299311213,47.598087353,"(47.598087353, -122.299311213)",,,,
30632,10000268096,2010268096,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 04:02:00 AM,23XX BLOCK OF E YESLER WAY,G,G2,8700.2013,-122.301717253,47.601666109,"(47.601666109, -122.301717253)",,,,
30692,10000268086,2010268086,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 02:24:00 AM,117XX BLOCK OF AURORA AVE N,N,N1,402.2005,-122.344896102,47.717174471,"(47.717174471, -122.344896102)",,,,
31390,10000269348,2010269348,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 11:00:00 PM,11XX BLOCK OF N 94TH ST,N,N3,1300.2008,-122.343251402,47.697078414,"(47.697078414, -122.343251402)",,,,
31475,10000269302,2010269302,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 10:22:00 PM,93XX BLOCK OF AURORA AVE N,N,N2,1800.3001,-122.344595111,47.696722098,"(47.696722098, -122.344595111)",,,,
31481,10000269072,2010269072,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 11:20:00 PM,54XX BLOCK OF DELRIDGE WAY SW,F,F1,10700.1001,-122.362975495,47.552819767,"(47.552819767, -122.362975495)",,,,
31499,10000269380,2010269380,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/03/2010 11:15:00 PM,125XX BLOCK OF LAKE CITY WAY NE,L,L1,100.3007,-122.29469691,47.720185075,"(47.720185075, -122.29469691)",,,,
31548,10000269345,2010269345,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/04/2010 12:18:00 AM,125XX BLOCK OF AURORA AVE N,N,N1,402.2003,-122.344946833,47.720481995,"(47.720481995, -122.344946833)",,,,
32454,10000270870,2010270870,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/04/2010 11:25:00 PM,6XX BLOCK OF S WELLER ST,K,K2,9100.1010,-122.324081635,47.597511306,"(47.597511306, -122.324081635)",,,,
32581,10000270654,2010270654,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 04:09:00 AM,9XX BLOCK OF N 107TH ST,N,N1,402.2011,-122.346729268,47.706530746,"(47.706530746, -122.346729268)",,,,
32607,10000270757,2010270757,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 03:04:00 AM,141XX BLOCK OF AURORA AVE N,N,N1,401.1000,-122.345070048,47.73167415,"(47.73167415, -122.345070048)",,,,
32729,10000270811,2010270811,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 06:35:00 AM,85XX BLOCK OF LINDEN AVE N,N,N2,1800.2014,-122.347208843,47.690933056,"(47.690933056, -122.347208843)",,,,
33092,10000271775,2010271775,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 05:08:00 PM,87XX BLOCK OF AURORA AVE N,N,N2,1800.2006,-122.344541337,47.692196698,"(47.692196698, -122.344541337)",,,,
33303,10000272135,2010272135,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 09:44:00 PM,105XX BLOCK OF AURORA AVE N,N,N2,1300.4001,-122.344706419,47.705798569,"(47.705798569, -122.344706419)",,,,
33404,10000272080,2010272080,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 08:39:00 PM,127XX BLOCK OF AURORA AVE N,N,N1,402.2003,-122.344961857,47.721846826,"(47.721846826, -122.344961857)",,,,
33406,10000272063,2010272063,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 08:52:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
33426,10000272231,2010272231,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 11:00:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
33449,10000272029,2010272029,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 08:34:00 PM,105XX BLOCK OF AURORA AVE N,N,N2,1300.4001,-122.344706419,47.705798569,"(47.705798569, -122.344706419)",,,,
33469,10000272202,2010272202,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 10:35:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
33490,10000272181,2010272181,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 10:30:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
33491,10000272117,2010272117,125,PROSTITUTION,VICE CALLS,PROSTITUTION,08/05/2010 09:31:00 PM,130XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996835,47.725035552,"(47.725035552, -122.344996835)",,,,
